"x","y","year","PM10","NO2"
250500,672500,2012,10.16644,13.03513
250500,672500,2013,10.39226,10.99722
250500,672500,2014,10.01878,11.53008
250500,672500,2015,8.678531,10.80596
250500,672500,2016,9.208339,11.83103
250500,672500,2017,8.835773,10.04324
251500,672500,2012,9.987792,11.94428
251500,672500,2013,10.18194,10.03528
251500,672500,2014,9.799767,10.50109
251500,672500,2015,8.466485,9.806682
251500,672500,2016,9.0518,10.79025
251500,672500,2017,8.672402,8.924897
252500,672500,2012,10.07012,12.66977
252500,672500,2013,10.29448,10.78728
252500,672500,2014,9.900326,11.25781
252500,672500,2015,8.56001,10.42906
252500,672500,2016,9.17825,11.50884
252500,672500,2017,8.766478,9.436069
253500,672500,2012,10.38078,14.29335
253500,672500,2013,10.6777,12.38535
253500,672500,2014,10.28769,12.92716
253500,672500,2015,8.94531,11.85413
253500,672500,2016,9.519079,13.06148
253500,672500,2017,9.09234,10.89395
254500,672500,2012,10.38023,14.4478
254500,672500,2013,10.6863,12.53416
254500,672500,2014,10.26614,13.04393
254500,672500,2015,8.95327,12.02756
254500,672500,2016,9.554876,13.19853
254500,672500,2017,9.154591,11.17538
255500,672500,2012,10.24696,14.23739
255500,672500,2013,10.52822,12.25642
255500,672500,2014,10.11323,12.80599
255500,672500,2015,8.798006,11.86514
255500,672500,2016,9.387223,13.00323
255500,672500,2017,9.063048,11.07659
256500,672500,2012,10.3655,11.87202
256500,672500,2013,10.60366,10.17894
256500,672500,2014,10.10636,10.47648
256500,672500,2015,8.817584,9.687467
256500,672500,2016,9.494917,10.57982
256500,672500,2017,9.261961,9.153634
257500,672500,2012,10.57622,11.69745
257500,672500,2013,10.82491,10.11477
257500,672500,2014,10.31397,10.42091
257500,672500,2015,8.990411,9.616919
257500,672500,2016,9.677706,10.48054
257500,672500,2017,9.424489,8.969216
258500,672500,2012,10.82433,12.5614
258500,672500,2013,11.00968,11.34001
258500,672500,2014,10.5105,11.39988
258500,672500,2015,9.264539,9.900002
258500,672500,2016,9.976955,10.45621
258500,672500,2017,9.669244,8.760078
259500,672500,2012,10.31182,11.33394
259500,672500,2013,10.5432,9.895528
259500,672500,2014,10.03662,10.19845
259500,672500,2015,8.747272,9.51154
259500,672500,2016,9.488257,10.21721
259500,672500,2017,9.192321,8.55347
260500,672500,2012,10.33721,11.33791
260500,672500,2013,10.58944,9.928339
260500,672500,2014,10.09168,10.23368
260500,672500,2015,8.799709,9.466582
260500,672500,2016,9.522272,10.24891
260500,672500,2017,9.269047,8.565699
261500,672500,2012,10.29585,12.06559
261500,672500,2013,10.54751,10.54056
261500,672500,2014,10.02531,10.84403
261500,672500,2015,8.732366,9.970025
261500,672500,2016,9.421694,10.7669
261500,672500,2017,9.17553,9.016886
262500,672500,2012,11.76898,14.94074
262500,672500,2013,11.99976,12.89219
262500,672500,2014,11.43515,12.54861
262500,672500,2015,10.08546,11.60891
262500,672500,2016,10.64027,12.44605
262500,672500,2017,10.41256,10.71668
263500,672500,2012,10.97345,13.25261
263500,672500,2013,11.21368,11.48869
263500,672500,2014,10.64046,11.7048
263500,672500,2015,9.337642,10.72897
263500,672500,2016,9.958599,11.55531
263500,672500,2017,9.735116,9.879149
264500,672500,2012,10.77115,13.34802
264500,672500,2013,11.10482,11.8027
264500,672500,2014,10.5824,12.1537
264500,672500,2015,9.313916,11.04974
264500,672500,2016,9.99538,11.99478
264500,672500,2017,9.692963,9.946177
265500,672500,2012,10.31609,14.89349
265500,672500,2013,10.73147,13.19762
265500,672500,2014,10.29448,13.71834
265500,672500,2015,9.079776,12.54705
265500,672500,2016,9.602128,13.58158
265500,672500,2017,9.304258,11.19668
266500,672500,2012,10.078,14.27699
266500,672500,2013,10.46352,12.77271
266500,672500,2014,9.99115,13.30915
266500,672500,2015,8.957499,12.31378
266500,672500,2016,9.401062,13.17994
266500,672500,2017,9.152542,10.90842
267500,672500,2012,10.6605,13.46228
267500,672500,2013,11.06223,12.12966
267500,672500,2014,10.57711,12.75588
267500,672500,2015,9.387555,11.53029
267500,672500,2016,9.967505,12.37694
267500,672500,2017,9.7621,10.21099
268500,672500,2012,10.3085,12.75946
268500,672500,2013,10.79518,11.78416
268500,672500,2014,10.31106,12.45108
268500,672500,2015,9.057519,11.16461
268500,672500,2016,9.66074,12.00561
268500,672500,2017,9.479529,9.891323
269500,672500,2012,10.43283,11.5594
269500,672500,2013,10.92615,10.95771
269500,672500,2014,10.45786,11.52818
269500,672500,2015,9.165872,10.29168
269500,672500,2016,9.798286,11.34253
269500,672500,2017,9.599189,9.446524
250500,671500,2012,11.08379,15.74997
250500,671500,2013,11.33446,13.3815
250500,671500,2014,10.96026,13.79974
250500,671500,2015,9.536407,12.94479
250500,671500,2016,9.87981,14.0685
250500,671500,2017,9.468405,12.02451
251500,671500,2012,10.63058,13.89481
251500,671500,2013,10.87707,11.93815
251500,671500,2014,10.46172,12.12324
251500,671500,2015,9.120682,11.39725
251500,671500,2016,9.595281,12.39079
251500,671500,2017,9.237066,10.62094
252500,671500,2012,10.55318,13.75658
252500,671500,2013,10.7696,11.65802
252500,671500,2014,10.34041,12.00194
252500,671500,2015,9.033257,11.16939
252500,671500,2016,9.516554,12.20104
252500,671500,2017,9.135303,10.3006
253500,671500,2012,10.48666,14.24796
253500,671500,2013,10.7066,12.16193
253500,671500,2014,10.28121,12.504
253500,671500,2015,8.989724,11.61566
253500,671500,2016,9.544382,12.76229
253500,671500,2017,9.118662,10.56166
254500,671500,2012,10.74194,16.13801
254500,671500,2013,11.05284,14.01843
254500,671500,2014,10.65231,14.55576
254500,671500,2015,9.315187,13.4598
254500,671500,2016,9.821486,14.70077
254500,671500,2017,9.3886,12.42968
255500,671500,2012,10.55095,15.61974
255500,671500,2013,10.84294,13.44902
255500,671500,2014,10.42659,13.73823
255500,671500,2015,9.124515,12.82256
255500,671500,2016,9.706804,13.96446
255500,671500,2017,9.344982,12.00039
256500,671500,2012,10.39894,13.06069
256500,671500,2013,10.6127,11.09742
256500,671500,2014,10.12174,11.32272
256500,671500,2015,8.859425,10.683
256500,671500,2016,9.466984,11.61296
256500,671500,2017,9.191873,9.953653
257500,671500,2012,10.28646,11.75269
257500,671500,2013,10.50567,10.15446
257500,671500,2014,10.01455,10.42514
257500,671500,2015,8.744698,9.751566
257500,671500,2016,9.417418,10.54776
257500,671500,2017,9.163158,9.004729
258500,671500,2012,10.41732,12.05028
258500,671500,2013,10.65103,10.54096
258500,671500,2014,10.13153,11.76825
258500,671500,2015,9.128164,11.56866
258500,671500,2016,9.764009,12.16928
258500,671500,2017,9.35013,9.630419
259500,671500,2012,10.24708,12.4931
259500,671500,2013,10.46263,10.83413
259500,671500,2014,9.977577,11.1525
259500,671500,2015,8.701279,10.52923
259500,671500,2016,9.37824,11.23768
259500,671500,2017,9.119803,9.712657
260500,671500,2012,10.66681,13.61584
260500,671500,2013,10.93759,11.95378
260500,671500,2014,10.4359,12.19843
260500,671500,2015,9.1483,11.35476
260500,671500,2016,9.845464,12.19912
260500,671500,2017,9.559978,10.36861
261500,671500,2012,10.90722,15.78339
261500,671500,2013,11.22766,13.9189
261500,671500,2014,10.71988,14.29855
261500,671500,2015,9.397079,13.12235
261500,671500,2016,9.980399,14.0342
261500,671500,2017,9.707665,12.07121
262500,671500,2012,11.03756,16.61052
262500,671500,2013,11.31723,14.4407
262500,671500,2014,10.79499,14.33517
262500,671500,2015,9.457166,13.32115
262500,671500,2016,9.897703,13.96142
262500,671500,2017,9.66359,11.88556
263500,671500,2012,11.08811,15.05536
263500,671500,2013,11.36075,13.21269
263500,671500,2014,10.82635,13.67945
263500,671500,2015,9.534257,12.42654
263500,671500,2016,10.10772,13.14345
263500,671500,2017,9.891373,11.06012
264500,671500,2012,10.89895,15.16048
264500,671500,2013,11.22713,13.49349
264500,671500,2014,10.73426,14.06091
264500,671500,2015,9.412501,12.58129
264500,671500,2016,9.993849,13.42996
264500,671500,2017,9.721461,11.1384
265500,671500,2012,10.29368,15.70835
265500,671500,2013,10.68965,14.08985
265500,671500,2014,10.2663,14.66396
265500,671500,2015,8.927348,13.15715
265500,671500,2016,9.481303,14.18029
265500,671500,2017,9.195523,11.85198
266500,671500,2012,10.16685,13.59221
266500,671500,2013,10.58258,12.34946
266500,671500,2014,10.13096,12.73126
266500,671500,2015,8.91478,11.50254
266500,671500,2016,9.478843,12.58029
266500,671500,2017,9.230247,10.64268
267500,671500,2012,10.6357,12.61823
267500,671500,2013,11.17092,11.86743
267500,671500,2014,10.72887,12.39688
267500,671500,2015,9.44303,11.05717
267500,671500,2016,9.977318,12.124
267500,671500,2017,9.792585,10.29309
268500,671500,2012,10.31049,12.63632
268500,671500,2013,11.95708,14.21962
268500,671500,2014,11.63973,14.94028
268500,671500,2015,10.2205,13.50084
268500,671500,2016,10.57615,14.62097
268500,671500,2017,10.55632,13.24283
269500,671500,2012,10.17138,12.50645
269500,671500,2013,11.59903,14.13073
269500,671500,2014,11.28009,15.15848
269500,671500,2015,9.889278,13.21236
269500,671500,2016,10.2272,14.9652
269500,671500,2017,10.13279,12.70486
250500,670500,2012,10.97333,16.38288
250500,670500,2013,11.28597,14.07728
250500,670500,2014,10.8931,14.13175
250500,670500,2015,9.434005,13.42315
250500,670500,2016,9.751446,14.49965
250500,670500,2017,9.288254,12.43723
251500,670500,2012,11.16427,17.92346
251500,670500,2013,11.45983,15.50981
251500,670500,2014,11.02363,15.325
251500,670500,2015,9.528621,15.30212
251500,670500,2016,9.732298,16.23696
251500,670500,2017,9.298839,13.68408
252500,670500,2012,10.95938,15.94683
252500,670500,2013,11.23427,13.47904
252500,670500,2014,10.80938,14.30245
252500,670500,2015,9.455841,13.21113
252500,670500,2016,9.891291,14.35187
252500,670500,2017,9.506067,11.94545
253500,670500,2012,10.68994,15.40305
253500,670500,2013,10.95421,13.11574
253500,670500,2014,10.51924,13.5973
253500,670500,2015,9.228404,12.43587
253500,670500,2016,9.770094,13.55449
253500,670500,2017,9.354278,11.54431
254500,670500,2012,11.20103,18.04891
254500,670500,2013,11.43282,15.37868
254500,670500,2014,11.03432,16.0485
254500,670500,2015,9.659454,14.79646
254500,670500,2016,10.01325,16.04911
254500,670500,2017,9.571326,13.73748
255500,670500,2012,10.85522,16.66109
255500,670500,2013,11.15337,14.50749
255500,670500,2014,10.75757,14.58706
255500,670500,2015,9.391086,13.50477
255500,670500,2016,9.75356,14.57248
255500,670500,2017,9.440242,12.79002
256500,670500,2012,10.30558,14.15818
256500,670500,2013,10.52722,12.09848
256500,670500,2014,10.05525,12.2701
256500,670500,2015,8.817671,11.68274
256500,670500,2016,9.280788,12.54179
256500,670500,2017,9.029786,11.09044
257500,670500,2012,10.65191,13.70027
257500,670500,2013,10.87807,11.86019
257500,670500,2014,10.40063,12.0632
257500,670500,2015,9.160634,11.40869
257500,670500,2016,9.856215,12.25186
257500,670500,2017,9.608377,10.88217
258500,670500,2012,11.46736,14.70903
258500,670500,2013,11.72549,13.19632
258500,670500,2014,11.23467,13.30783
258500,670500,2015,9.952244,12.69881
258500,670500,2016,10.50218,13.23402
258500,670500,2017,10.56586,13.28466
259500,670500,2012,10.74632,14.28041
259500,670500,2013,10.95977,12.34258
259500,670500,2014,10.47112,12.58228
259500,670500,2015,9.182977,11.79328
259500,670500,2016,9.72445,12.52812
259500,670500,2017,9.499521,11.07846
260500,670500,2012,10.87365,16.40297
260500,670500,2013,11.19257,14.58144
260500,670500,2014,10.75073,14.82588
260500,670500,2015,9.413711,13.6441
260500,670500,2016,9.95733,14.47907
260500,670500,2017,9.659851,12.79465
261500,670500,2012,11.26943,18.56526
261500,670500,2013,11.6049,16.54118
261500,670500,2014,11.11325,16.9609
261500,670500,2015,9.780708,15.42737
261500,670500,2016,10.32263,16.27153
261500,670500,2017,10.01227,14.11546
262500,670500,2012,10.85415,16.92298
262500,670500,2013,11.13105,15.00992
262500,670500,2014,10.65068,15.3276
262500,670500,2015,9.410114,14.12212
262500,670500,2016,10.00822,15.0313
262500,670500,2017,9.716221,12.95707
263500,670500,2012,11.20716,14.67218
263500,670500,2013,11.42151,13.04607
263500,670500,2014,10.92356,13.26724
263500,670500,2015,9.648371,12.13258
263500,670500,2016,10.20161,13.10439
263500,670500,2017,9.988874,11.3568
264500,670500,2012,11.36868,13.55267
264500,670500,2013,11.61005,12.19628
264500,670500,2014,11.1229,12.43086
264500,670500,2015,9.840621,11.30274
264500,670500,2016,10.42941,12.30144
264500,670500,2017,10.1878,10.47105
265500,670500,2012,10.45089,13.61624
265500,670500,2013,10.84057,12.38178
265500,670500,2014,10.44809,12.7463
265500,670500,2015,9.144383,11.47517
265500,670500,2016,9.668077,12.5716
265500,670500,2017,9.42862,10.64951
266500,670500,2012,11.12865,13.99832
266500,670500,2013,11.84913,13.4073
266500,670500,2014,11.45941,14.1023
266500,670500,2015,10.06385,12.29033
266500,670500,2016,10.46346,13.46816
266500,670500,2017,10.27941,11.70581
267500,670500,2012,10.45486,13.40494
267500,670500,2013,12.23723,15.16883
267500,670500,2014,11.88811,16.21507
267500,670500,2015,10.42459,13.88919
267500,670500,2016,10.70239,15.19305
267500,670500,2017,10.7266,13.86813
268500,670500,2012,10.48792,13.30515
268500,670500,2013,11.09198,12.83356
268500,670500,2014,10.6856,13.44419
268500,670500,2015,9.337782,11.99005
268500,670500,2016,9.8353,13.22418
268500,670500,2017,9.61219,11.38868
269500,670500,2012,10.95932,15.34084
269500,670500,2013,11.51649,14.50857
269500,670500,2014,11.23146,15.30212
269500,670500,2015,10.05028,13.84814
269500,670500,2016,10.19931,15.28426
269500,670500,2017,9.37807,11.3995
250500,669500,2012,11.10597,16.03548
250500,669500,2013,11.48853,13.65152
250500,669500,2014,10.92663,14.15809
250500,669500,2015,9.424356,13.33947
250500,669500,2016,9.741055,14.53234
250500,669500,2017,9.237123,13.30606
251500,669500,2012,10.85048,15.21796
251500,669500,2013,11.17018,13.12933
251500,669500,2014,10.73509,13.46852
251500,669500,2015,9.307379,12.48625
251500,669500,2016,9.841857,13.64317
251500,669500,2017,9.339577,11.61914
252500,669500,2012,11.53231,15.91979
252500,669500,2013,11.85678,13.77249
252500,669500,2014,11.44372,14.19031
252500,669500,2015,10.08252,12.99399
252500,669500,2016,10.44225,14.06434
252500,669500,2017,9.970172,11.95344
253500,669500,2012,11.59366,17.73379
253500,669500,2013,11.98184,15.64296
253500,669500,2014,11.5404,16.00793
253500,669500,2015,10.13553,14.552
253500,669500,2016,10.38856,15.7153
253500,669500,2017,9.942166,13.60468
254500,669500,2012,11.66316,18.54314
254500,669500,2013,11.99379,16.42776
254500,669500,2014,11.55374,17.22187
254500,669500,2015,10.15259,15.88804
254500,669500,2016,10.2305,17.11767
254500,669500,2017,9.867642,14.51673
255500,669500,2012,11.00838,17.85908
255500,669500,2013,11.28579,15.59402
255500,669500,2014,10.8316,15.637
255500,669500,2015,9.451369,14.87236
255500,669500,2016,9.699408,15.81386
255500,669500,2017,9.430124,14.06194
256500,669500,2012,11.28018,17.4482
256500,669500,2013,11.57446,15.40096
256500,669500,2014,11.12555,15.60813
256500,669500,2015,9.857495,14.76616
256500,669500,2016,10.06874,15.71192
256500,669500,2017,9.798223,14.25488
257500,669500,2012,10.80149,16.13316
257500,669500,2013,11.10627,14.20741
257500,669500,2014,10.62084,14.36509
257500,669500,2015,9.372483,13.52478
257500,669500,2016,9.672635,14.39407
257500,669500,2017,9.456123,13.13291
258500,669500,2012,11.22734,17.74683
258500,669500,2013,11.64401,15.83856
258500,669500,2014,11.16757,15.97275
258500,669500,2015,9.792865,14.97011
258500,669500,2016,9.984833,15.69449
258500,669500,2017,9.833875,13.93781
259500,669500,2012,11.33638,16.96657
259500,669500,2013,11.67174,15.10224
259500,669500,2014,11.12213,15.31459
259500,669500,2015,9.80892,14.08941
259500,669500,2016,10.23133,14.93611
259500,669500,2017,9.984793,13.55481
260500,669500,2012,11.52336,20.33346
260500,669500,2013,11.93334,17.98039
260500,669500,2014,11.43584,18.8433
260500,669500,2015,10.06492,16.95254
260500,669500,2016,10.41136,17.81437
260500,669500,2017,10.04953,15.99263
261500,669500,2012,11.17071,17.71206
261500,669500,2013,11.53069,15.93568
261500,669500,2014,11.00956,15.93938
261500,669500,2015,9.711782,14.79387
261500,669500,2016,10.15907,15.8006
261500,669500,2017,9.815116,13.90615
262500,669500,2012,11.45759,17.85712
262500,669500,2013,11.82451,16.09839
262500,669500,2014,11.33702,16.15906
262500,669500,2015,10.05119,14.8596
262500,669500,2016,10.47068,15.99629
262500,669500,2017,10.12081,14.12523
263500,669500,2012,11.87301,15.26244
263500,669500,2013,11.64441,13.69597
263500,669500,2014,11.12093,13.85412
263500,669500,2015,9.848326,12.70489
263500,669500,2016,10.40325,13.7247
263500,669500,2017,10.18653,12.33379
264500,669500,2012,11.21547,14.92229
264500,669500,2013,11.45243,13.36499
264500,669500,2014,10.96123,13.74204
264500,669500,2015,9.670135,12.56249
264500,669500,2016,10.21796,13.63738
264500,669500,2017,9.975442,12.1005
265500,669500,2012,11.21563,16.45606
265500,669500,2013,11.8222,15.1458
265500,669500,2014,11.39615,16.00092
265500,669500,2015,10.02047,14.28086
265500,669500,2016,10.49558,15.58779
265500,669500,2017,10.33987,13.99724
266500,669500,2012,11.7289,17.37967
266500,669500,2013,13.27045,18.19979
266500,669500,2014,12.93954,19.66839
266500,669500,2015,11.18044,14.72968
266500,669500,2016,10.38156,16.17723
266500,669500,2017,10.14089,14.33833
267500,669500,2012,10.65617,14.76684
267500,669500,2013,11.17779,13.8813
267500,669500,2014,10.75538,14.46381
267500,669500,2015,9.375437,12.84614
267500,669500,2016,9.828541,14.17877
267500,669500,2017,9.58563,12.35304
268500,669500,2012,11.08037,15.9223
268500,669500,2013,11.53089,14.68009
268500,669500,2014,11.18598,15.24962
268500,669500,2015,9.867533,13.94797
268500,669500,2016,10.18486,15.40315
268500,669500,2017,9.884809,13.29506
269500,669500,2012,10.47777,14.05187
269500,669500,2013,10.85471,12.82635
269500,669500,2014,10.4298,13.45454
269500,669500,2015,9.123549,12.23226
269500,669500,2016,9.627851,13.64042
269500,669500,2017,9.323586,11.44547
250500,668500,2012,10.73064,14.68202
250500,668500,2013,11.00515,12.16484
250500,668500,2014,10.61807,12.65323
250500,668500,2015,9.097897,11.77588
250500,668500,2016,9.516449,12.80758
250500,668500,2017,8.999996,10.50594
251500,668500,2012,11.32007,16.85307
251500,668500,2013,11.75148,14.28339
251500,668500,2014,11.37644,14.8449
251500,668500,2015,9.816278,13.54389
251500,668500,2016,9.985003,14.60125
251500,668500,2017,9.519419,12.503
252500,668500,2012,11.77275,18.50939
252500,668500,2013,12.25261,15.9095
252500,668500,2014,11.98087,16.31595
252500,668500,2015,10.32623,14.93539
252500,668500,2016,10.23044,15.82681
252500,668500,2017,9.778589,13.91742
253500,668500,2012,11.78141,18.55027
253500,668500,2013,12.23898,15.89813
253500,668500,2014,11.80734,15.87562
253500,668500,2015,10.27262,14.75935
253500,668500,2016,10.28489,15.67702
253500,668500,2017,9.883279,13.77184
254500,668500,2012,12.01848,20.08433
254500,668500,2013,12.38481,17.91556
254500,668500,2014,11.94401,18.26
254500,668500,2015,10.4248,17.15726
254500,668500,2016,10.41762,18.29471
254500,668500,2017,10.02805,15.76768
255500,668500,2012,11.55702,20.24667
255500,668500,2013,11.96721,18.97593
255500,668500,2014,11.47588,17.96515
255500,668500,2015,10.09509,17.10877
255500,668500,2016,10.12566,18.15508
255500,668500,2017,9.833013,16.91795
256500,668500,2012,11.50528,18.46894
256500,668500,2013,11.87788,16.73144
256500,668500,2014,11.4026,16.50346
256500,668500,2015,10.31034,15.6803
256500,668500,2016,10.09586,16.49343
256500,668500,2017,9.847934,14.79746
257500,668500,2012,11.59275,18.86936
257500,668500,2013,12.03984,17.25464
257500,668500,2014,11.55258,17.05008
257500,668500,2015,10.23432,15.878
257500,668500,2016,10.06969,16.79206
257500,668500,2017,9.853189,14.97476
258500,668500,2012,11.86118,21.39225
258500,668500,2013,12.43802,19.57976
258500,668500,2014,11.8506,19.40598
258500,668500,2015,10.41801,17.85662
258500,668500,2016,10.21803,18.60551
258500,668500,2017,9.972284,17.57885
259500,668500,2012,11.8744,20.17365
259500,668500,2013,12.32153,18.2508
259500,668500,2014,11.62799,18.4782
259500,668500,2015,10.23175,17.01259
259500,668500,2016,10.32846,17.7269
259500,668500,2017,10.09267,16.28468
260500,668500,2012,11.87318,20.10541
260500,668500,2013,12.3042,18.45917
260500,668500,2014,11.77879,18.428
260500,668500,2015,10.36554,16.93543
260500,668500,2016,10.39941,17.78123
260500,668500,2017,10.14464,16.10771
261500,668500,2012,11.36485,18.12538
261500,668500,2013,11.78024,16.76019
261500,668500,2014,11.23717,16.32543
261500,668500,2015,9.841603,15.08222
261500,668500,2016,10.11173,15.97976
261500,668500,2017,9.833115,14.61966
262500,668500,2012,11.40686,17.40498
262500,668500,2013,11.76617,16.08959
262500,668500,2014,11.24437,15.8428
262500,668500,2015,9.874619,14.54056
262500,668500,2016,10.25773,15.55999
262500,668500,2017,9.968358,13.94254
263500,668500,2012,12.04327,19.23648
263500,668500,2013,12.42104,17.60223
263500,668500,2014,11.97298,18.1079
263500,668500,2015,10.57258,16.54268
263500,668500,2016,10.96286,17.73437
263500,668500,2017,10.74192,16.32644
264500,668500,2012,11.66155,18.48185
264500,668500,2013,12.21618,16.87264
264500,668500,2014,11.7642,17.57146
264500,668500,2015,10.42645,15.98637
264500,668500,2016,10.92609,17.17919
264500,668500,2017,10.7626,16.13728
265500,668500,2012,10.87595,16.6965
265500,668500,2013,11.26398,15.09367
265500,668500,2014,10.84825,15.64064
265500,668500,2015,9.47858,14.21825
265500,668500,2016,9.977679,15.53108
265500,668500,2017,9.721967,13.91611
266500,668500,2012,11.09814,16.15316
266500,668500,2013,11.52585,14.80463
266500,668500,2014,11.05894,15.30214
266500,668500,2015,9.697033,14.34244
266500,668500,2016,10.1858,15.62139
266500,668500,2017,9.919086,13.86072
267500,668500,2012,10.67359,14.3942
267500,668500,2013,10.92374,13.02165
267500,668500,2014,10.44204,13.38936
267500,668500,2015,9.142166,12.26116
267500,668500,2016,9.723547,13.5313
267500,668500,2017,9.470126,11.77897
268500,668500,2012,10.2349,13.6001
268500,668500,2013,10.4573,12.20135
268500,668500,2014,9.989809,12.58453
268500,668500,2015,8.718005,11.53039
268500,668500,2016,9.286144,12.79481
268500,668500,2017,9.006521,10.93455
269500,668500,2012,10.47828,14.05039
269500,668500,2013,10.73472,12.58086
269500,668500,2014,10.31022,13.15428
269500,668500,2015,9.031453,12.00539
269500,668500,2016,9.556226,13.29972
269500,668500,2017,9.257814,11.19824
250500,667500,2012,11.62235,18.27539
250500,667500,2013,11.91891,15.60064
250500,667500,2014,11.65301,16.10703
250500,667500,2015,10.02304,14.84101
250500,667500,2016,10.21566,15.94513
250500,667500,2017,9.680388,13.33518
251500,667500,2012,11.81652,18.49592
251500,667500,2013,12.36652,16.05323
251500,667500,2014,12.1014,16.66217
251500,667500,2015,10.31945,15.12297
251500,667500,2016,10.37345,16.25531
251500,667500,2017,9.85379,14.04796
252500,667500,2012,15.8682,27.06437
252500,667500,2013,17.39335,24.02407
252500,667500,2014,17.38296,23.76552
252500,667500,2015,14.06257,22.25355
252500,667500,2016,12.22717,22.08563
252500,667500,2017,11.64838,20.61427
253500,667500,2012,12.84126,22.08558
253500,667500,2013,13.38124,19.28184
253500,667500,2014,12.9037,19.54359
253500,667500,2015,11.19146,17.68407
253500,667500,2016,10.84726,18.58188
253500,667500,2017,10.53754,16.53702
254500,667500,2012,12.25845,21.64411
254500,667500,2013,12.6211,19.2629
254500,667500,2014,12.17409,19.66375
254500,667500,2015,10.59396,17.77767
254500,667500,2016,10.43604,18.96208
254500,667500,2017,10.05915,16.69887
255500,667500,2012,11.73862,20.52563
255500,667500,2013,12.14912,18.244
255500,667500,2014,11.69599,18.27356
255500,667500,2015,10.35894,16.70815
255500,667500,2016,10.13996,17.80051
255500,667500,2017,9.873425,16.0344
256500,667500,2012,12.09465,22.57203
256500,667500,2013,12.45426,20.26569
256500,667500,2014,12.00358,20.28735
256500,667500,2015,10.64527,18.71452
256500,667500,2016,10.26132,19.75504
256500,667500,2017,10.02096,17.48113
257500,667500,2012,12.22541,21.95159
257500,667500,2013,12.7018,20.25771
257500,667500,2014,12.22978,20.01634
257500,667500,2015,10.96854,18.54958
257500,667500,2016,10.39617,19.50459
257500,667500,2017,10.18289,17.52329
258500,667500,2012,12.05911,20.84235
258500,667500,2013,12.51348,19.83007
258500,667500,2014,11.98463,19.19027
258500,667500,2015,10.56368,17.7672
258500,667500,2016,10.265,18.6908
258500,667500,2017,10.05869,16.96198
259500,667500,2012,12.50001,22.53702
259500,667500,2013,13.03528,21.35338
259500,667500,2014,12.43319,20.90325
259500,667500,2015,10.85823,19.3811
259500,667500,2016,10.58922,19.98768
259500,667500,2017,10.37342,18.35825
260500,667500,2012,12.65725,23.38465
260500,667500,2013,13.11885,21.64409
260500,667500,2014,12.61716,21.0298
260500,667500,2015,11.1052,19.77581
260500,667500,2016,10.67234,20.39355
260500,667500,2017,10.46071,19.10863
261500,667500,2012,12.54214,22.06313
261500,667500,2013,13.06884,18.72266
261500,667500,2014,12.6011,20.37346
261500,667500,2015,11.04764,18.20554
261500,667500,2016,10.80321,18.48628
261500,667500,2017,10.50125,16.75967
262500,667500,2012,12.79939,21.40715
262500,667500,2013,13.1713,19.53417
262500,667500,2014,12.69811,19.8377
262500,667500,2015,11.25335,18.19827
262500,667500,2016,11.3563,19.23819
262500,667500,2017,11.13858,17.83163
263500,667500,2012,12.36979,21.41903
